match_id,stage,group,home_slot,away_slot,home_team_id,away_team_id,kickoff_utc,venue,host_city,host_country,status,source_url,verified_at_utc
WC26-001,group,A,A1,A2,mexico,south-africa,2026-06-11T19:00:00Z,Estadio Azteca,Mexico City,MEX,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-002,group,A,A3,A4,south-korea,czechia,2026-06-12T02:00:00Z,Estadio Akron,Guadalajara,MEX,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-003,group,B,B1,B4,canada,bosnia-and-herzegovina,2026-06-12T19:00:00Z,BMO Field,Toronto,CAN,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-004,group,D,D1,D2,united-states,paraguay,2026-06-13T01:00:00Z,SoFi Stadium,Los Angeles,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-005,group,C,C3,C4,haiti,scotland,2026-06-14T01:00:00Z,Gillette Stadium,Boston,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-006,group,D,D3,D4,australia,turkiye,2026-06-14T04:00:00Z,BC Place,Vancouver,CAN,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-007,group,C,C1,C2,brazil,morocco,2026-06-13T22:00:00Z,MetLife Stadium,New York/New Jersey,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-008,group,B,B3,B2,qatar,switzerland,2026-06-13T19:00:00Z,Levi's Stadium,San Francisco Bay Area,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-009,group,E,E3,E4,ivory-coast,ecuador,2026-06-14T23:00:00Z,Lincoln Financial Field,Philadelphia,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-010,group,E,E1,E2,germany,curacao,2026-06-14T17:00:00Z,NRG Stadium,Houston,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-011,group,F,F1,F2,netherlands,japan,2026-06-14T20:00:00Z,AT&T Stadium,Dallas,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-012,group,F,F4,F3,sweden,tunisia,2026-06-15T02:00:00Z,Estadio BBVA,Monterrey,MEX,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-013,group,H,H3,H4,saudi-arabia,uruguay,2026-06-15T22:00:00Z,Hard Rock Stadium,Miami Gardens,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-014,group,H,H1,H2,spain,cape-verde,2026-06-15T16:00:00Z,Mercedes-Benz Stadium,Atlanta,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-015,group,G,G3,G4,iran,new-zealand,2026-06-16T01:00:00Z,SoFi Stadium,Los Angeles,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-016,group,G,G1,G2,belgium,egypt,2026-06-15T19:00:00Z,Lumen Field,Seattle,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-017,group,I,I1,I2,france,senegal,2026-06-16T19:00:00Z,MetLife Stadium,New York/New Jersey,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-018,group,I,I3,I4,iraq,norway,2026-06-16T22:00:00Z,Gillette Stadium,Boston,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-019,group,J,J1,J2,argentina,algeria,2026-06-17T01:00:00Z,Arrowhead Stadium,Kansas City,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-020,group,J,J3,J4,austria,jordan,2026-06-17T04:00:00Z,Levi's Stadium,San Francisco Bay Area,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-021,group,L,L3,L4,ghana,panama,2026-06-17T23:00:00Z,BMO Field,Toronto,CAN,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-022,group,L,L1,L2,england,croatia,2026-06-17T20:00:00Z,AT&T Stadium,Dallas,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-023,group,K,K1,K2,portugal,dr-congo,2026-06-17T17:00:00Z,NRG Stadium,Houston,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-024,group,K,K3,K4,uzbekistan,colombia,2026-06-18T02:00:00Z,Estadio Azteca,Mexico City,MEX,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-025,group,A,A4,A2,czechia,south-africa,2026-06-18T16:00:00Z,Mercedes-Benz Stadium,Atlanta,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-026,group,B,B2,B4,switzerland,bosnia-and-herzegovina,2026-06-18T19:00:00Z,SoFi Stadium,Los Angeles,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-027,group,B,B1,B3,canada,qatar,2026-06-18T22:00:00Z,BC Place,Vancouver,CAN,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-028,group,A,A1,A3,mexico,south-korea,2026-06-19T01:00:00Z,Estadio Akron,Guadalajara,MEX,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-029,group,C,C1,C3,brazil,haiti,2026-06-20T00:30:00Z,Lincoln Financial Field,Philadelphia,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-030,group,C,C4,C2,scotland,morocco,2026-06-19T22:00:00Z,Gillette Stadium,Boston,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-031,group,D,D4,D2,turkiye,paraguay,2026-06-20T03:00:00Z,Levi's Stadium,San Francisco Bay Area,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-032,group,D,D1,D3,united-states,australia,2026-06-19T19:00:00Z,Lumen Field,Seattle,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-033,group,E,E1,E3,germany,ivory-coast,2026-06-20T20:00:00Z,BMO Field,Toronto,CAN,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-034,group,E,E4,E2,ecuador,curacao,2026-06-21T00:00:00Z,Arrowhead Stadium,Kansas City,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-035,group,F,F1,F4,netherlands,sweden,2026-06-20T17:00:00Z,NRG Stadium,Houston,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-036,group,F,F3,F2,tunisia,japan,2026-06-21T04:00:00Z,Estadio BBVA,Monterrey,MEX,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-037,group,H,H4,H2,uruguay,cape-verde,2026-06-21T22:00:00Z,Hard Rock Stadium,Miami Gardens,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-038,group,H,H1,H3,spain,saudi-arabia,2026-06-21T16:00:00Z,Mercedes-Benz Stadium,Atlanta,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-039,group,G,G1,G3,belgium,iran,2026-06-21T19:00:00Z,SoFi Stadium,Los Angeles,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-040,group,G,G4,G2,new-zealand,egypt,2026-06-22T01:00:00Z,BC Place,Vancouver,CAN,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-041,group,I,I4,I2,norway,senegal,2026-06-23T00:00:00Z,MetLife Stadium,New York/New Jersey,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-042,group,I,I1,I3,france,iraq,2026-06-22T21:00:00Z,Lincoln Financial Field,Philadelphia,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-043,group,J,J1,J3,argentina,austria,2026-06-22T17:00:00Z,AT&T Stadium,Dallas,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
WC26-044,group,J,J4,J2,jordan,algeria,2026-06-23T03:00:00Z,Levi's Stadium,San Francisco Bay Area,USA,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,2026-06-11T18:00:00Z
