team_id,canonical_name,fifa_code,elo_code,confederation,is_world_cup_2026,active_from,active_to
abkhazia,Abkhazia,,,UNSPECIFIED,false,2012-09-25,
afghanistan,Afghanistan,,,UNSPECIFIED,false,1941-08-10,
aland-islands,Åland Islands,,,UNSPECIFIED,false,1989-07-08,
albania,Albania,,,UNSPECIFIED,false,1946-08-22,
alderney,Alderney,,,UNSPECIFIED,false,1905-04-17,
ambazonia,Ambazonia,,,UNSPECIFIED,false,2005-06-23,
american-samoa,American Samoa,,,UNSPECIFIED,false,1983-08-20,
andalusia,Andalusia,,,UNSPECIFIED,false,1923-01-14,
andorra,Andorra,,,UNSPECIFIED,false,1996-11-13,
angola,Angola,,,UNSPECIFIED,false,1976-02-08,
anguilla,Anguilla,,,UNSPECIFIED,false,1985-11-05,
antigua-and-barbuda,Antigua and Barbuda,,,UNSPECIFIED,false,1972-11-10,
arameans-suryoye,Arameans Suryoye,,,UNSPECIFIED,false,2008-07-09,
armenia,Armenia,,,UNSPECIFIED,false,1979-07-21,
artsakh,Artsakh,,,UNSPECIFIED,false,2012-09-25,
aruba,Aruba,,,UNSPECIFIED,false,1924-04-06,
asturias,Asturias,,,UNSPECIFIED,false,1923-02-25,
aymara,Aymara,,,UNSPECIFIED,false,2022-06-18,
azerbaijan,Azerbaijan,,,UNSPECIFIED,false,1979-07-24,
bahamas,Bahamas,,,UNSPECIFIED,false,1971-04-14,
bahrain,Bahrain,,,UNSPECIFIED,false,1966-04-02,
bangladesh,Bangladesh,,,UNSPECIFIED,false,1973-07-27,
barawa,Barawa,,,UNSPECIFIED,false,2016-08-25,
barbados,Barbados,,,UNSPECIFIED,false,1929-04-20,
basque-country,Basque Country,,,UNSPECIFIED,false,1915-01-03,
belarus,Belarus,,,UNSPECIFIED,false,1928-08-17,
belize,Belize,,,UNSPECIFIED,false,1983-12-08,
benin,Benin,,,UNSPECIFIED,false,1959-11-08,
bermuda,Bermuda,,,UNSPECIFIED,false,1964-08-10,
bhutan,Bhutan,,,UNSPECIFIED,false,1982-04-01,
biafra,Biafra,,,UNSPECIFIED,false,2022-05-22,
bolivia,Bolivia,,,UNSPECIFIED,false,1926-10-12,
bonaire,Bonaire,,,UNSPECIFIED,false,2010-10-29,
botswana,Botswana,,,UNSPECIFIED,false,1968-07-13,
british-virgin-islands,British Virgin Islands,,,UNSPECIFIED,false,1985-11-05,
brittany,Brittany,,,UNSPECIFIED,false,1922-03-12,
brunei,Brunei,,,UNSPECIFIED,false,1971-05-22,
bulgaria,Bulgaria,,,UNSPECIFIED,false,1924-05-21,
burkina-faso,Burkina Faso,,,UNSPECIFIED,false,1960-04-14,
burundi,Burundi,,,UNSPECIFIED,false,1953-09-19,
cambodia,Cambodia,,,UNSPECIFIED,false,1954-11-01,
cameroon,Cameroon,,,UNSPECIFIED,false,1953-09-24,
canary-islands,Canary Islands,,,UNSPECIFIED,false,1996-02-06,
cascadia,Cascadia,,,UNSPECIFIED,false,2018-05-31,
catalonia,Catalonia,,,UNSPECIFIED,false,1912-02-10,
cayman-islands,Cayman Islands,,,UNSPECIFIED,false,1985-03-03,
central-african-republic,Central African Republic,,,UNSPECIFIED,false,1960-04-14,
central-spain,Central Spain,,,UNSPECIFIED,false,1922-11-19,
chad,Chad,,,UNSPECIFIED,false,1961-12-25,
chagos-islands,Chagos Islands,,,UNSPECIFIED,false,2011-12-04,
chameria,Chameria,,,UNSPECIFIED,false,2019-06-02,
chechnya,Chechnya,,,UNSPECIFIED,false,2005-05-03,
chile,Chile,,,UNSPECIFIED,false,1910-05-27,
china,China,,,UNSPECIFIED,false,1913-02-04,
cilento,Cilento,,,UNSPECIFIED,false,2011-12-29,
comoros,Comoros,,,UNSPECIFIED,false,1979-08-26,
congo,Congo,,,UNSPECIFIED,false,1960-04-14,
cook-islands,Cook Islands,,,UNSPECIFIED,false,1971-09-11,
corsica,Corsica,,,UNSPECIFIED,false,1967-02-28,
costa-rica,Costa Rica,,,UNSPECIFIED,false,1921-09-14,
county-of-nice,County of Nice,,,UNSPECIFIED,false,2014-06-02,
crimea,Crimea,,,UNSPECIFIED,false,2006-11-19,
cuba,Cuba,,,UNSPECIFIED,false,1930-03-16,
cyprus,Cyprus,,,UNSPECIFIED,false,1949-07-30,
czechoslovakia,Czechoslovakia,,,UNSPECIFIED,false,1903-04-05,
darfur,Darfur,,,UNSPECIFIED,false,2012-06-04,
delvidek,Délvidék,,,UNSPECIFIED,false,2016-08-01,
denmark,Denmark,,,UNSPECIFIED,false,1908-10-22,
djibouti,Djibouti,,,UNSPECIFIED,false,1947-12-05,
dominica,Dominica,,,UNSPECIFIED,false,1932-03-23,
dominican-republic,Dominican Republic,,,UNSPECIFIED,false,1949-05-14,
