provider,bookmaker,event_id,match_id,commence_time_utc,provider_update_utc,home_team,away_team,price_home,price_draw,price_away
manual,book-consensus,885ba95805db310a7bcc3fb1a7a6dd28,WC26-049,2026-06-24T22:00:00Z,2026-06-24T15:16:33Z,Scotland,Brazil,9.9,5.75,1.32
manual,book-consensus,d1279ce7f33136a33e99ad442fc855e8,WC26-050,2026-06-24T22:00:00Z,2026-06-24T15:16:33Z,Morocco,Haiti,1.17,7.58,17.72
manual,book-consensus,c9ef5822ee64fd5275f7c73251bb56c7,WC26-051,2026-06-24T19:00:00Z,2026-06-24T15:16:33Z,Switzerland,Canada,2.45,3.05,3.32
manual,book-consensus,512ac18beb5aa936a59f7ea3e497ada2,WC26-052,2026-06-24T19:00:00Z,2026-06-24T15:16:33Z,Bosnia & Herzegovina,Qatar,1.36,5.5,8
manual,book-consensus,5993bd5196ca09f83990f0c3261e442e,WC26-053,2026-06-25T01:00:00Z,2026-06-24T15:16:33Z,Czech Republic,Mexico,3.72,3.9,1.94
manual,book-consensus,c0355dfc6e26ec327e379b6ef5824a5f,WC26-054,2026-06-25T01:00:00Z,2026-06-24T15:16:33Z,South Africa,South Korea,6.1,4,1.6
manual,book-consensus,a5a0b544a984ab16e564264f3e859b43,WC26-055,2026-06-25T20:00:00Z,2026-06-24T15:16:33Z,Curacao,Ivory Coast,18.81,8,1.15
manual,book-consensus,0ec28b84ec399bd4dffbe8d1bc72b3c4,WC26-056,2026-06-25T20:00:00Z,2026-06-24T15:16:33Z,Ecuador,Germany,3.88,4.06,1.85
manual,book-consensus,0ed0233bddc4eafc8507f86a9c17b998,WC26-057,2026-06-25T23:00:00Z,2026-06-24T15:16:33Z,Japan,Sweden,1.88,3.54,4.3
manual,book-consensus,f3c4657daa143a0c5bd62cb370d01ce4,WC26-058,2026-06-25T23:00:00Z,2026-06-24T15:16:33Z,Tunisia,Netherlands,24,9.75,1.12
manual,book-consensus,f41aeac9a8343a84b4950f15ea25fba2,WC26-059,2026-06-26T02:00:00Z,2026-06-24T15:16:33Z,Turkey,USA,3.6,4.1,1.91
