match_id,team_a,team_b,goals_a,goals_b,fair_play_a,fair_play_b,advanced_team
WC26-001,mexico,south-africa,2,0,,,
WC26-002,south-korea,czechia,2,1,,,
WC26-003,canada,bosnia-and-herzegovina,1,1,,,
WC26-004,united-states,paraguay,4,1,,,
WC26-005,haiti,scotland,0,1,,,
WC26-006,australia,turkiye,2,0,,,
WC26-007,brazil,morocco,1,1,,,
WC26-008,qatar,switzerland,1,1,,,
WC26-009,ivory-coast,ecuador,1,0,,,
WC26-010,germany,curacao,7,1,,,
WC26-011,netherlands,japan,2,2,,,
WC26-012,sweden,tunisia,5,1,,,
WC26-013,saudi-arabia,uruguay,1,1,,,
WC26-014,spain,cape-verde,0,0,,,
WC26-015,iran,new-zealand,2,2,,,
WC26-016,belgium,egypt,1,1,,,
WC26-017,france,senegal,3,1,,,
WC26-018,iraq,norway,1,4,,,
WC26-019,argentina,algeria,3,0,,,
WC26-020,austria,jordan,3,1,,,
WC26-021,ghana,panama,1,0,,,
WC26-022,england,croatia,4,2,,,
WC26-023,portugal,dr-congo,1,1,,,
WC26-024,uzbekistan,colombia,1,3,,,
WC26-025,czechia,south-africa,1,1,,,
WC26-026,switzerland,bosnia-and-herzegovina,4,1,,,
WC26-027,canada,qatar,6,0,,,
WC26-028,mexico,south-korea,1,0,,,
WC26-029,brazil,haiti,3,0,,,
WC26-030,scotland,morocco,0,1,,,
WC26-031,turkiye,paraguay,0,1,,,
WC26-032,united-states,australia,2,0,,,
WC26-033,germany,ivory-coast,2,1,,,
WC26-034,ecuador,curacao,0,0,,,
WC26-035,netherlands,sweden,5,1,,,
WC26-036,tunisia,japan,0,4,,,
WC26-037,uruguay,cape-verde,2,2,,,
WC26-038,spain,saudi-arabia,4,0,,,
WC26-039,belgium,iran,0,0,,,
WC26-040,new-zealand,egypt,1,3,,,
WC26-041,norway,senegal,3,2,,,
WC26-042,france,iraq,3,0,,,
WC26-043,argentina,austria,2,0,,,
WC26-044,jordan,algeria,1,2,,,
WC26-045,england,ghana,0,0,,,
WC26-046,panama,croatia,0,1,,,
WC26-047,portugal,uzbekistan,5,0,,,
WC26-048,colombia,dr-congo,1,0,,,
WC26-049,scotland,brazil,0,3,,,
WC26-050,morocco,haiti,4,1,,,
WC26-051,switzerland,canada,2,1,,,
WC26-052,bosnia-and-herzegovina,qatar,3,1,,,
WC26-053,czechia,mexico,0,3,,,
WC26-054,south-africa,south-korea,1,0,,,
WC26-055,curacao,ivory-coast,0,2,,,
WC26-056,ecuador,germany,2,1,,,
WC26-057,japan,sweden,1,1,,,
WC26-058,tunisia,netherlands,1,3,,,
WC26-059,turkiye,united-states,3,2,,,
WC26-060,paraguay,australia,0,0,,,
WC26-061,norway,france,1,4,,,
WC26-062,senegal,iraq,5,0,,,
WC26-063,egypt,iran,1,1,,,
WC26-064,new-zealand,belgium,1,5,,,
WC26-065,cape-verde,saudi-arabia,0,0,,,
WC26-066,uruguay,spain,0,1,,,
WC26-067,panama,england,0,2,,,
WC26-068,croatia,ghana,2,1,,,
WC26-069,algeria,austria,3,3,,,
WC26-070,jordan,argentina,1,3,,,
WC26-071,colombia,portugal,0,0,,,
WC26-072,dr-congo,uzbekistan,3,1,,,
WC26-073,south-africa,canada,0,1,,,canada
